CausalSame,CausalDiff,NoCauseSame,NoCauseDiff,CausalEffect,UncausalEffect
68.4931506849315,68.42105263157895,54.794520547945204,63.1578947368421,0.07209805335255393,-8.363374188896898
89.23076923076924,62.5,67.1875,65.57377049180327,26.730769230769237,1.6137295081967262
86.76470588235294,24.285714285714285,59.72222222222222,59.154929577464785,62.47899159663866,0.5672926447574334
63.51351351351351,60.0,66.66666666666666,66.21621621621621,3.513513513513511,0.45045045045044585
94.5945945945946,64.86486486486487,77.63157894736842,85.33333333333334,29.729729729729726,-7.701754385964921
93.24324324324324,75.0,70.66666666666667,67.56756756756756,18.243243243243246,3.0990990990991008
94.36619718309859,18.91891891891892,56.94444444444444,50.68493150684932,75.44727826417967,6.259512937595124
44.44444444444444,64.86486486486487,40.27777777777778,63.51351351351351,-20.420420420420427,-23.23573573573573
93.24324324324324,29.72972972972973,54.666666666666664,61.64383561643836,63.51351351351351,-6.977168949771695
56.94444444444444,62.5,59.45945945945946,56.33802816901409,-5.555555555555558,3.1214312904453756
70.83333333333334,51.35135135135135,60.810810810810814,53.42465753424658,19.48198198198199,7.386153276564233
59.72222222222222,63.76811594202898,56.16438356164384,68.05555555555556,-4.0458937198067595,-11.891171993911719
52.17391304347826,57.971014492753625,47.69230769230769,59.154929577464785,-5.797101449275366,-11.462621885157093
86.48648648648648,72.22222222222221,72.22222222222221,84.0,14.26426426426427,-11.777777777777775
76.05633802816901,63.38028169014085,63.013698630136986,71.83098591549296,12.676056338028163,-8.81728728535598
58.333333333333336,59.154929577464785,57.534246575342465,54.054054054054056,-0.8215962441314506,3.4801925212884055
92.0,89.33333333333333,82.66666666666667,87.5,2.6666666666666727,-4.833333333333334
89.39393939393939,84.61538461538461,95.65217391304348,91.54929577464789,4.778554778554778,4.102878138395594
61.64383561643836,50.68493150684932,50.0,65.27777777777779,10.95890410958904,-15.277777777777779
76.31578947368422,38.666666666666664,48.64864864864865,53.52112676056338,37.64912280701755,-4.872478111914724
50.0,63.33333333333333,56.14035087719298,68.75,-13.33333333333333,-12.60964912280702
79.72972972972973,85.52631578947368,84.21052631578947,85.33333333333334,-5.796586059743958,-1.1228070175438698
65.78947368421053,70.66666666666667,61.33333333333333,60.0,-4.877192982456135,1.3333333333333308
90.14084507042254,75.34246575342466,80.82191780821918,75.0,14.798379316997877,5.82191780821918
